CrimeDate,Total Incidents
2012-12-12,145.0
2012-12-13,120.0
2012-12-14,152.0
2012-12-15,152.0
2012-12-16,97.0
2012-12-17,119.0
2012-12-18,114.0
2012-12-19,127.0
2012-12-20,145.0
2012-12-21,136.0
2012-12-22,109.0
2012-12-23,105.0
2012-12-24,107.0
2012-12-25,87.0
2012-12-26,96.0
2012-12-27,106.0
2012-12-28,140.0
2012-12-29,118.0
2012-12-30,116.0
2012-12-31,125.0
2013-01-01,157.0
2013-01-02,107.0
2013-01-03,112.0
2013-01-04,152.0
2013-01-05,121.0
2013-01-06,113.0
2013-01-07,124.0
2013-01-08,121.0
2013-01-09,123.0
2013-01-10,138.0
2013-01-11,150.0
2013-01-12,118.0
2013-01-13,133.0
2013-01-14,129.0
2013-01-15,143.0
2013-01-16,121.0
2013-01-17,123.0
2013-01-18,131.0
2013-01-19,105.0
2013-01-20,129.0
2013-01-21,114.0
2013-01-22,105.0
2013-01-23,108.0
2013-01-24,96.0
2013-01-25,116.0
2013-01-26,113.0
2013-01-27,135.0
2013-01-28,141.0
2013-01-29,97.0
2013-01-30,119.0
2013-01-31,115.0
2013-02-01,140.0
2013-02-02,88.0
2013-02-03,99.0
2013-02-04,118.0
2013-02-05,146.0
2013-02-06,110.0
2013-02-07,115.0
2013-02-08,124.0
2013-02-09,103.0
2013-02-10,82.0
2013-02-11,118.0
2013-02-12,130.0
2013-02-13,122.0
2013-02-14,137.0
2013-02-15,113.0
2013-02-16,102.0
2013-02-17,98.0
2013-02-18,100.0
2013-02-19,107.0
2013-02-20,123.0
2013-02-21,108.0
2013-02-22,116.0
2013-02-23,129.0
2013-02-24,110.0
2013-02-25,111.0
2013-02-26,120.0
2013-02-27,111.0
2013-02-28,120.0
2013-03-01,131.0
2013-03-02,101.0
2013-03-03,111.0
2013-03-04,104.0
2013-03-05,124.0
2013-03-06,94.0
2013-03-07,112.0
2013-03-08,143.0
2013-03-09,122.0
2013-03-10,110.0
2013-03-11,129.0
2013-03-12,106.0
2013-03-13,127.0
2013-03-14,154.0
2013-03-15,133.0
2013-03-16,130.0
2013-03-17,90.0
2013-03-18,110.0
2013-03-19,125.0
2013-03-20,126.0
2013-03-21,133.0
2013-03-22,135.0
2013-03-23,111.0
2013-03-24,108.0
2013-03-25,99.0
2013-03-26,101.0
2013-03-27,130.0
2013-03-28,127.0
2013-03-29,97.0
2013-03-30,120.0
2013-03-31,92.0
2013-04-01,147.0
2013-04-02,115.0
2013-04-03,107.0
2013-04-04,113.0
2013-04-05,151.0
2013-04-06,113.0
2013-04-07,103.0
2013-04-08,144.0
2013-04-09,131.0
2013-04-10,148.0
2013-04-11,125.0
2013-04-12,149.0
2013-04-13,131.0
2013-04-14,144.0
2013-04-15,138.0
2013-04-16,145.0
2013-04-17,126.0
2013-04-18,137.0
2013-04-19,151.0
2013-04-20,134.0
2013-04-21,108.0
2013-04-22,135.0
2013-04-23,131.0
2013-04-24,132.0
2013-04-25,156.0
2013-04-26,141.0
2013-04-27,131.0
2013-04-28,135.0
2013-04-29,138.0
2013-04-30,128.0
2013-05-01,169.0
2013-05-02,120.0
2013-05-03,142.0
2013-05-04,96.0
2013-05-05,115.0
2013-05-06,156.0
2013-05-07,111.0
2013-05-08,169.0
2013-05-09,158.0
2013-05-10,153.0
2013-05-11,118.0
2013-05-12,121.0
2013-05-13,145.0
2013-05-14,120.0
2013-05-15,141.0
2013-05-16,167.0
2013-05-17,161.0
2013-05-18,167.0
2013-05-19,126.0
2013-05-20,145.0
2013-05-21,152.0
2013-05-22,164.0
2013-05-23,154.0
2013-05-24,157.0
2013-05-25,147.0
2013-05-26,141.0
2013-05-27,135.0
2013-05-28,167.0
2013-05-29,148.0
2013-05-30,126.0
2013-05-31,158.0
2013-06-01,144.0
2013-06-02,146.0
2013-06-03,156.0
2013-06-04,150.0
2013-06-05,136.0
2013-06-06,161.0
2013-06-07,127.0
2013-06-08,158.0
2013-06-09,127.0
2013-06-10,130.0
2013-06-11,155.0
2013-06-12,145.0
2013-06-13,126.0
2013-06-14,151.0
2013-06-15,170.0
2013-06-16,137.0
2013-06-17,157.0
2013-06-18,134.0
2013-06-19,144.0
2013-06-20,137.0
2013-06-21,159.0
2013-06-22,192.0
2013-06-23,133.0
2013-06-24,162.0
2013-06-25,159.0
2013-06-26,151.0
2013-06-27,167.0
2013-06-28,141.0
2013-06-29,123.0
2013-06-30,137.0
2013-07-01,142.0
2013-07-02,110.0
2013-07-03,127.0
2013-07-04,134.0
2013-07-05,132.0
2013-07-06,137.0
2013-07-07,140.0
2013-07-08,137.0
2013-07-09,130.0
2013-07-10,166.0
2013-07-11,148.0
2013-07-12,128.0
2013-07-13,145.0
2013-07-14,113.0
2013-07-15,154.0
2013-07-16,135.0
2013-07-17,133.0
2013-07-18,147.0
2013-07-19,162.0
2013-07-20,176.0
2013-07-21,166.0
2013-07-22,167.0
2013-07-23,181.0
2013-07-24,166.0
2013-07-25,150.0
2013-07-26,150.0
2013-07-27,127.0
2013-07-28,134.0
2013-07-29,145.0
2013-07-30,162.0
2013-07-31,133.0
2013-08-01,170.0
2013-08-02,157.0
2013-08-03,143.0
2013-08-04,159.0
2013-08-05,150.0
2013-08-06,143.0
2013-08-07,147.0
2013-08-08,153.0
2013-08-09,120.0
2013-08-10,143.0
2013-08-11,136.0
2013-08-12,145.0
2013-08-13,149.0
2013-08-14,185.0
2013-08-15,136.0
2013-08-16,160.0
2013-08-17,162.0
2013-08-18,145.0
2013-08-19,152.0
2013-08-20,154.0
2013-08-21,167.0
2013-08-22,132.0
2013-08-23,169.0
2013-08-24,152.0
2013-08-25,126.0
2013-08-26,144.0
2013-08-27,135.0
2013-08-28,161.0
2013-08-29,135.0
2013-08-30,141.0
2013-08-31,150.0
2013-09-01,144.0
2013-09-02,160.0
2013-09-03,122.0
2013-09-04,149.0
2013-09-05,148.0
2013-09-06,167.0
2013-09-07,136.0
